context,generated,text
"On Sept. 8, 2002, the lead","author of that study gave an interview on ABC's 20/20 in which he stated, ""We","On Sept. 8, 2002, the lead author of that study gave an interview on ABC's 20/20 in which he stated, ""We"
Most of our beliefs about the economy –,"whether we like it or not – reflect our values,"" he said. ""We believe in free enterprise","Most of our beliefs about the economy – whether we like it or not – reflect our values,"" he said. ""We believe in free enterprise"
"... Now, I have to","thank you. Thank you so much for helping me in my time of need."" He smiled at her","... Now, I have to thank you. Thank you so much for helping me in my time of need."" He smiled at her"
'Bring it on' Queensland Labor MP Graham,Perrett gave up his seat in favour of standing for re-election as an independent after losing the,'Bring it on' Queensland Labor MP Graham Perrett gave up his seat in favour of standing for re-election as an independent after losing the
Side Note: Gerald Henderson was included,on this list because he played well during his three seasons with the Chicago Bulls. He helped lead them,Side Note: Gerald Henderson was included on this list because he played well during his three seasons with the Chicago Bulls. He helped lead them
"Tyler taps the tablet, which",allows him to connect with other users on Facebook. On his screen is what appears to be an expansive,"Tyler taps the tablet, which allows him to connect with other users on Facebook. On his screen is what appears to be an expansive"
Sometimes the image you give people,"makes them happy,"" he said. ""It gives them hope.""

The ""We Love You","Sometimes the image you give people makes them happy,"" he said. ""It gives them hope.""

The ""We Love You"
He struck out two,". He gave up three hits with four walks in six innings.""

He gave up five hits","He struck out two. He gave up three hits with four walks in six innings.""

He gave up five hits"
Ironton: Iron County Head Start closing,"at 6 p.m., but will stay open until 10 p.()(((&","Ironton: Iron County Head Start closing at 6 p.m., but will stay open until 10 p.()(((&"
"""Yes you need to pay first,""","he told her. ""We'll give you the money."" He gave her a warm smile. ""","""Yes you need to pay first,"" he told her. ""We'll give you the money."" He gave her a warm smile. """
